name_short,name_full,delay_mean,departdelay_mean,destindelay_mean,distance_mean,distance_median,color
AS,Alaska Airlines,-2.4851936218678814,1.2118451025056947,-3.6970387243735763,1247.136674259681,978.0,#b5e571
AA,American Airlines,33.86511965192169,18.023930384336477,15.841189267585207,1116.588107324148,1055.0,#adbec6
DL,Delta Air Lines,-4.15196394075982,3.455891822279459,-7.607855763039279,967.8325820991629,761.0,#e43924
MQ,Envoy Air,27.660485021398003,13.718972895863052,13.94151212553495,436.27246790299574,408.0,#E6E6E6
EV,ExpressJet,8.086921850079744,5.147527910685805,2.9393939393939394,511.21132376395536,475.0,#00FFBF
F9,Frontier Airlines,31.97701149425287,14.980842911877394,16.99616858237548,895.1226053639847,862.0,#F7FE2E
HA,Hawaiian Airlines,10.966507177033492,4.220095693779904,6.746411483253588,612.133971291866,163.0,#D2058A
B6,JetBlue Airways,6.799207397622192,5.616908850726552,1.1822985468956406,1100.9775429326287,1046.0,#003876
WN,Southwest Airlines,16.343055049216186,10.527524608093328,5.815530441122858,753.5089318264673,651.0,#940a0a
NK,Spirit Airlines,17.509090909090908,10.098181818181818,7.410909090909091,986.7672727272727,982.0,#2EFE2E
OO,Skywest Airlines,25.59355290819902,13.012613875262788,12.58093903293623,495.4968465311843,421.0,#F9B612
UA,United Airlines,21.243498817966902,14.810874704491725,6.432624113475177,1381.5287628053586,1211.0,#6ab3e8
US,US Airlines,3.799610894941634,3.609922178988327,0.18968871595330739,960.7071984435797,678.0,#2a292a
VX,Virgin America,-2.4407894736842106,1.5592105263157894,-4.0,1436.9342105263158,1381.0,#570094
